"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"03.11.2022","770,20","770,00","774,20","760,80","417,01K","0,03%"
"02.11.2022","770,00","790,00","790,00","760,20","579,03K","-2,43%"
"01.11.2022","789,20","792,80","798,40","775,80","861,12K","0,31%"
"31.10.2022","786,80","816,00","819,00","784,40","1,30M","-3,63%"
"28.10.2022","816,40","826,40","830,20","805,40","1,68M","-1,21%"
"27.10.2022","826,40","779,20","831,80","772,60","2,40M","6,00%"
"26.10.2022","779,60","757,80","784,60","745,40","1,65M","2,96%"
"25.10.2022","757,20","727,60","762,60","723,80","900,73K","4,07%"
"24.10.2022","727,60","731,20","743,60","712,60","1,36M","-0,63%"
"21.10.2022","732,20","687,00","736,80","676,80","2,02M","6,58%"
"20.10.2022","687,00","657,60","688,60","656,20","1,27M","5,08%"
"19.10.2022","653,80","644,20","656,20","636,80","1,13M","1,52%"
"18.10.2022","644,00","656,00","666,60","641,20","1,69M","-1,74%"
"17.10.2022","655,40","618,00","656,00","611,40","2,17M","6,40%"
"14.10.2022","616,00","592,80","616,00","586,00","1,51M","4,30%"
"13.10.2022","590,60","594,20","600,60","587,20","324,23K","-0,91%"
"12.10.2022","596,00","604,60","608,00","589,00","481,75K","-0,77%"
"11.10.2022","600,60","593,00","606,00","582,80","891,18K","1,35%"
"10.10.2022","592,60","565,00","595,00","560,00","768,83K","3,49%"
"07.10.2022","572,60","589,80","592,40","570,00","496,87K","-3,11%"
"06.10.2022","591,00","595,00","604,60","585,40","403,89K","-0,67%"
"05.10.2022","595,00","607,00","608,80","575,00","829,32K","-2,49%"
"04.10.2022","610,20","639,00","640,60","606,00","629,94K","-3,78%"
"03.10.2022","634,20","624,60","646,20","611,20","816,40K","1,96%"
"30.09.2022","622,00","583,00","626,40","561,00","1,44M","7,09%"
"29.09.2022","580,80","618,00","620,00","571,80","1,01M","-5,81%"
"28.09.2022","616,60","622,00","633,80","602,00","552,86K","-1,25%"
"27.09.2022","624,40","620,00","633,00","589,00","851,63K","3,04%"
"26.09.2022","606,00","690,40","693,00","599,20","1,78M","-13,48%"
"23.09.2022","700,40","724,00","724,00","687,20","816,48K","-3,29%"
"22.09.2022","724,20","701,00","734,60","701,00","730,89K","3,34%"
"21.09.2022","700,80","688,00","723,80","676,00","967,64K","-3,82%"
"20.09.2022","728,60","781,60","785,40","714,00","1,26M","-6,88%"
"19.09.2022","782,40","783,00","790,60","778,20","335,18K","0,13%"
"16.09.2022","781,40","773,00","784,00","773,00","389,70K","0,80%"
"15.09.2022","775,20","770,20","788,00","761,20","630,76K","0,73%"
"14.09.2022","769,60","777,80","777,80","756,60","576,11K","-1,05%"
"13.09.2022","777,80","782,20","783,60","772,20","442,49K","-0,28%"
"12.09.2022","780,00","780,00","793,00","777,00","624,53K","-0,36%"
"09.09.2022","782,80","780,20","783,00","773,20","489,10K","1,08%"
"08.09.2022","774,40","783,20","787,20","769,20","546,51K","-1,35%"
"07.09.2022","785,00","787,80","802,80","783,00","645,33K","-0,36%"
"06.09.2022","787,80","798,00","805,00","780,00","1,35M","-1,28%"
"05.09.2022","798,00","777,60","798,00","765,00","793,86K","3,05%"
"02.09.2022","774,40","744,80","774,40","738,60","806,25K","4,31%"
"01.09.2022","742,40","754,80","755,00","740,40","436,95K","-1,64%"
"31.08.2022","754,80","744,40","770,60","740,00","735,14K","1,48%"
"30.08.2022","743,80","740,00","754,80","737,00","772,51K","0,65%"
"29.08.2022","739,00","712,40","739,00","711,00","758,04K","3,70%"
