"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"08.11.2022","39,05","39,46","39,51","38,51","10,94M","-0,86%"
"07.11.2022","39,39","39,36","39,47","38,69","11,52M","1,00%"
"04.11.2022","39,00","39,39","39,74","38,46","15,09M","1,27%"
"03.11.2022","38,51","37,78","38,74","37,65","12,10M","-0,03%"
"02.11.2022","38,52","39,22","40,07","38,46","13,22M","-2,11%"
"01.11.2022","39,35","39,92","40,10","38,85","10,84M","0,25%"
"31.10.2022","39,25","38,55","39,65","38,36","13,96M","1,03%"
"28.10.2022","38,85","38,20","38,88","38,09","10,37M","1,81%"
"27.10.2022","38,16","38,04","38,64","37,40","13,67M","0,79%"
"26.10.2022","37,86","37,36","38,27","37,18","19,48M","2,30%"
"25.10.2022","37,01","36,45","37,48","35,83","25,54M","3,61%"
"24.10.2022","35,72","34,91","35,88","34,46","18,14M","2,06%"
"21.10.2022","35,00","33,50","35,01","33,32","14,08M","4,67%"
"20.10.2022","33,44","33,74","34,15","33,14","13,55M","-0,56%"
"19.10.2022","33,63","33,79","34,19","33,30","10,30M","-1,81%"
"18.10.2022","34,25","34,78","34,90","33,98","11,04M","2,03%"
"17.10.2022","33,57","33,70","33,95","33,06","10,86M","2,07%"
"14.10.2022","32,89","33,07","33,22","32,45","11,95M","0,40%"
"13.10.2022","32,76","31,29","32,97","31,27","17,14M","1,74%"
"12.10.2022","32,20","32,12","32,53","31,60","10,79M","0,34%"
"11.10.2022","32,09","32,01","32,87","31,28","16,76M","-0,62%"
"10.10.2022","32,29","32,38","32,62","31,10","22,15M","-3,96%"
"07.10.2022","33,62","34,06","34,26","33,40","11,19M","-2,92%"
"06.10.2022","34,63","34,58","35,17","34,38","11,44M","-0,60%"
"05.10.2022","34,84","34,38","35,01","33,81","18,36M","-2,68%"
"04.10.2022","35,80","34,20","35,80","33,92","19,28M","8,91%"
"03.10.2022","32,87","32,46","33,29","31,61","14,70M","2,43%"
"30.09.2022","32,09","32,93","33,21","32,05","16,09M","-3,52%"
"29.09.2022","33,26","34,01","34,38","32,82","14,83M","-5,65%"
"28.09.2022","35,25","34,75","35,50","34,36","12,03M","1,56%"
"27.09.2022","34,71","35,55","35,68","34,07","13,54M","-0,94%"
"26.09.2022","35,04","35,10","36,05","34,67","16,78M","-1,24%"
"23.09.2022","35,48","36,47","36,72","34,83","17,47M","-5,08%"
"22.09.2022","37,38","37,81","38,04","37,19","13,52M","-0,80%"
"21.09.2022","37,68","39,16","39,69","37,67","20,46M","-3,53%"
"20.09.2022","39,06","40,23","40,60","38,90","25,40M","-5,63%"
"19.09.2022","41,39","39,50","41,44","39,43","13,27M","3,55%"
"16.09.2022","39,97","40,06","40,57","39,71","20,90M","-1,70%"
"15.09.2022","40,66","40,57","42,13","40,54","15,19M","0,10%"
"14.09.2022","40,62","40,74","40,85","39,74","15,24M","0,22%"
"13.09.2022","40,53","40,60","41,42","40,35","14,84M","-3,61%"
"12.09.2022","42,05","41,66","42,36","41,40","16,33M","1,84%"
"09.09.2022","41,29","40,75","41,54","40,70","12,91M","1,95%"
"08.09.2022","40,50","39,45","40,67","39,35","15,75M","0,97%"
"07.09.2022","40,11","38,52","40,17","38,40","15,83M","3,62%"
"06.09.2022","38,71","38,81","39,47","38,40","19,72M","0,62%"
"02.09.2022","38,47","39,32","39,53","38,33","10,86M","-0,23%"
"01.09.2022","38,56","37,81","38,60","37,51","11,37M","0,92%"
"31.08.2022","38,21","39,20","39,23","38,12","15,39M","-2,35%"
"30.08.2022","39,13","39,76","39,88","38,58","15,09M","-0,96%"
"29.08.2022","39,51","38,77","39,97","38,70","13,41M","0,71%"
"26.08.2022","39,23","40,75","41,09","39,22","16,18M","-2,87%"
"25.08.2022","40,39","39,36","40,78","39,34","15,21M","2,90%"
"24.08.2022","39,25","38,61","39,73","38,32","12,71M","1,79%"
"23.08.2022","38,56","38,96","39,41","38,42","15,39M","0,03%"
"22.08.2022","38,55","38,24","38,82","37,92","20,92M","-2,90%"
"19.08.2022","39,70","39,24","40,28","39,09","23,31M","2,53%"
"18.08.2022","38,72","38,33","38,90","38,06","7,00M","0,83%"
"17.08.2022","38,40","38,19","38,69","37,65","10,66M","-1,51%"
"16.08.2022","38,99","38,95","39,60","38,72","13,94M","-1,04%"
"15.08.2022","39,40","38,88","39,69","38,81","9,63M","-0,20%"
"12.08.2022","39,48","38,83","39,51","38,48","8,91M","2,65%"
"11.08.2022","38,46","38,69","39,04","38,18","10,22M","1,34%"
"10.08.2022","37,95","37,69","38,48","37,49","10,66M","3,63%"
"09.08.2022","36,62","37,27","37,35","36,22","12,75M","-2,50%"
"08.08.2022","37,56","36,62","38,18","36,46","17,41M","4,16%"
"05.08.2022","36,06","35,92","36,28","35,59","10,88M","-0,47%"
"04.08.2022","36,23","37,02","37,16","36,07","16,88M","-2,89%"
"03.08.2022","37,31","36,79","38,19","36,75","16,05M","3,27%"
"02.08.2022","36,13","36,32","36,96","36,11","13,12M","-1,74%"
"01.08.2022","36,77","36,06","36,98","35,60","12,22M","1,41%"
"29.07.2022","36,26","35,75","36,44","35,39","14,38M","1,45%"
"28.07.2022","35,74","35,01","35,75","34,60","11,80M","3,06%"
"27.07.2022","34,68","34,02","34,80","33,63","12,29M","4,02%"
"26.07.2022","33,34","34,03","34,08","33,04","14,53M","-3,42%"
"25.07.2022","34,52","34,86","35,05","34,13","14,78M","-0,43%"
"22.07.2022","34,67","35,17","35,20","34,29","13,62M","-1,31%"
"21.07.2022","35,13","34,76","35,13","34,36","10,86M","1,06%"
"20.07.2022","34,76","34,18","35,01","34,05","10,11M","1,05%"
"19.07.2022","34,40","33,35","34,63","33,28","13,19M","5,46%"
"18.07.2022","32,62","33,30","33,59","32,48","12,68M","-0,76%"
"15.07.2022","32,87","32,25","32,92","31,71","12,98M","4,05%"
"14.07.2022","31,59","31,15","31,65","30,67","14,45M","-0,41%"
"13.07.2022","31,72","30,85","31,84","30,36","16,20M","0,60%"
"12.07.2022","31,53","30,92","32,06","30,80","19,77M","2,14%"
"11.07.2022","30,87","31,91","32,20","30,79","17,13M","-4,46%"
"08.07.2022","32,31","32,69","33,13","32,25","11,77M","-1,07%"
"07.07.2022","32,66","32,00","32,85","31,95","14,02M","4,45%"
"06.07.2022","31,27","32,05","32,49","30,93","17,10M","-3,40%"
"05.07.2022","32,37","31,11","32,43","30,33","19,65M","0,56%"
"01.07.2022","32,19","31,28","32,88","31,26","21,18M","1,35%"
"30.06.2022","31,76","32,59","32,74","31,41","20,14M","-5,05%"
"29.06.2022","33,45","33,80","33,87","32,66","11,43M","-1,59%"
"28.06.2022","33,99","35,19","36,13","33,95","15,20M","-1,85%"
"27.06.2022","34,63","34,99","35,32","34,34","10,44M","-0,55%"
"24.06.2022","34,82","33,11","35,00","33,06","18,40M","5,55%"
"23.06.2022","32,99","32,92","33,35","32,23","14,41M","0,49%"
"22.06.2022","32,83","32,19","33,51","32,03","14,98M","0,58%"
"21.06.2022","32,64","32,83","33,10","31,89","16,63M","2,38%"
"17.06.2022","31,88","31,45","32,39","30,65","23,65M","1,46%"
"16.06.2022","31,42","32,85","32,85","30,92","22,78M","-8,07%"
"15.06.2022","34,18","33,36","34,60","33,35","19,12M","2,95%"
"14.06.2022","33,20","32,67","33,59","32,47","17,89M","2,85%"
"13.06.2022","32,28","33,86","34,08","32,15","23,20M","-7,80%"
"10.06.2022","35,01","35,73","36,37","35,00","15,88M","-4,47%"
"09.06.2022","36,65","37,48","37,68","36,63","9,31M","-2,76%"
"08.06.2022","37,69","38,34","38,77","37,63","10,21M","-1,77%"
"07.06.2022","38,37","37,22","38,46","36,82","14,52M","1,43%"
"06.06.2022","37,83","38,35","38,43","37,51","11,03M","0,58%"
"03.06.2022","37,61","38,09","38,29","37,48","11,67M","-3,24%"
"02.06.2022","38,87","38,40","39,25","38,36","10,74M","1,57%"
"01.06.2022","38,27","39,01","39,64","37,90","12,19M","-1,06%"
"31.05.2022","38,68","38,61","38,95","37,96","19,86M","0,29%"
"27.05.2022","38,57","37,80","38,59","37,36","15,68M","3,07%"
"26.05.2022","37,42","36,38","37,76","36,38","14,57M","4,00%"
"25.05.2022","35,98","34,90","36,35","34,90","15,41M","2,19%"
"24.05.2022","35,21","35,53","35,57","34,31","16,72M","-2,19%"
"23.05.2022","36,00","35,93","36,61","35,09","19,96M","1,69%"
"20.05.2022","35,40","37,01","37,08","34,38","24,41M","-1,99%"
"19.05.2022","36,12","35,38","36,65","35,15","15,55M","0,81%"
"18.05.2022","35,83","37,50","37,77","35,59","19,26M","-5,96%"
"17.05.2022","38,10","38,03","38,55","37,35","15,51M","2,70%"
"16.05.2022","37,10","38,01","38,04","36,76","16,51M","-2,91%"
"13.05.2022","38,21","36,18","38,49","36,07","23,00M","7,45%"
"12.05.2022","35,56","35,46","36,20","34,58","43,17M","-4,59%"
"11.05.2022","37,27","38,78","39,44","37,17","18,05M","-3,70%"
"10.05.2022","38,70","39,39","39,49","37,52","20,21M","1,15%"
"09.05.2022","38,26","38,98","40,22","38,08","18,51M","-3,34%"
"06.05.2022","39,58","39,79","40,12","38,80","14,68M","-0,93%"
"05.05.2022","39,95","40,32","40,75","39,35","15,32M","-2,96%"
"04.05.2022","41,17","39,60","41,24","39,30","15,81M","3,08%"
"03.05.2022","39,94","39,32","40,27","38,82","19,13M","3,88%"
"02.05.2022","38,45","37,67","38,49","37,25","16,12M","1,42%"
"29.04.2022","37,91","38,81","39,42","37,78","16,74M","-2,17%"
"28.04.2022","38,75","39,35","39,61","37,31","22,80M","0,23%"
"27.04.2022","38,66","38,29","39,52","37,70","19,83M","1,63%"
"26.04.2022","38,04","39,22","39,45","37,88","21,68M","-4,47%"
"25.04.2022","39,82","39,35","39,99","38,67","18,70M","-0,05%"
"22.04.2022","39,84","40,46","40,74","39,78","17,72M","-2,14%"
"21.04.2022","40,71","42,76","43,00","40,56","12,54M","-2,42%"
"20.04.2022","41,72","42,25","43,24","41,69","12,99M","-0,86%"
"19.04.2022","42,08","40,81","42,19","40,81","13,85M","3,57%"
"18.04.2022","40,63","40,13","40,93","39,95","11,80M","1,25%"
"14.04.2022","40,13","40,15","40,78","40,09","13,32M","-0,22%"
"13.04.2022","40,22","39,62","40,45","39,54","10,90M","0,45%"
"12.04.2022","40,04","40,61","40,78","39,64","17,21M","-0,72%"
"11.04.2022","40,33","38,81","41,34","38,69","25,02M","2,49%"
"08.04.2022","39,35","38,35","40,05","38,17","22,09M","1,63%"
"07.04.2022","38,72","39,29","39,53","37,60","28,30M","-1,97%"
"06.04.2022","39,50","40,79","41,33","39,48","29,25M","-4,64%"
"05.04.2022","41,42","42,96","43,16","41,32","19,85M","-4,08%"
"04.04.2022","43,18","43,27","43,42","42,53","12,60M","0,51%"
"01.04.2022","42,96","44,16","44,45","42,41","16,79M","-1,78%"
"31.03.2022","43,74","44,84","44,90","43,74","17,34M","-3,27%"
"30.03.2022","45,22","45,64","46,03","45,04","12,82M","-2,25%"
"29.03.2022","46,26","45,41","46,74","45,24","16,78M","4,61%"
"28.03.2022","44,22","43,90","44,25","43,28","12,18M","1,31%"
"25.03.2022","43,65","44,28","44,31","43,40","10,36M","-1,58%"
"24.03.2022","44,35","44,05","44,86","43,95","11,11M","1,30%"
"23.03.2022","43,78","44,00","44,52","43,77","15,14M","-1,75%"
"22.03.2022","44,56","44,24","45,27","44,09","14,70M","2,18%"
"21.03.2022","43,61","44,28","44,67","43,22","17,90M","-2,70%"
"18.03.2022","44,82","43,23","45,04","43,13","19,83M","2,66%"
